server_time;(ax,ay,az);(gx,gy,gz)
2021-07-06T12:16:05.464020;(2269,4,-512);(1284,-332,-1210)
2021-07-06T12:16:05.471812;(2269,4,-512);(1284,-332,-1210)
2021-07-06T12:16:05.479601;(2269,4,-512);(1284,-332,-1210)
2021-07-06T12:16:05.486814;(2273,5,-513);(1297,-316,-1210)
2021-07-06T12:16:05.496951;(2273,5,-513);(1297,-316,-1210)
2021-07-06T12:16:05.506416;(2275,8,-509);(1301,-314,-1221)
2021-07-06T12:16:05.513273;(2275,8,-509);(1301,-314,-1221)
2021-07-06T12:16:05.520450;(2275,8,-509);(1301,-314,-1221)
2021-07-06T12:16:05.528863;(2275,8,-509);(1301,-314,-1221)
2021-07-06T12:16:05.538271;(2275,8,-509);(1301,-314,-1221)
2021-07-06T12:16:05.546811;(2282,9,-495);(1322,-314,-1228)
2021-07-06T12:16:05.554870;(2282,9,-495);(1322,-314,-1228)
2021-07-06T12:16:05.562446;(2282,9,-495);(1322,-314,-1228)
2021-07-06T12:16:05.571713;(2275,5,-519);(1327,-312,-1223)
2021-07-06T12:16:05.579551;(2275,5,-519);(1327,-312,-1223)
2021-07-06T12:16:05.587264;(2277,10,-524);(1331,-305,-1226)
2021-07-06T12:16:05.596332;(2277,10,-524);(1331,-305,-1226)
2021-07-06T12:16:05.606244;(2276,4,-526);(1343,-292,-1222)
2021-07-06T12:16:05.613841;(2276,4,-526);(1343,-292,-1222)
2021-07-06T12:16:05.621778;(2276,4,-526);(1343,-292,-1222)
2021-07-06T12:16:05.630367;(2271,5,-526);(1344,-265,-1231)
2021-07-06T12:16:05.638616;(2271,5,-526);(1344,-265,-1231)
2021-07-06T12:16:05.647039;(2274,4,-516);(1364,-242,-1233)
2021-07-06T12:16:05.654814;(2274,4,-516);(1364,-242,-1233)
2021-07-06T12:16:05.664807;(2274,4,-516);(1364,-242,-1233)
2021-07-06T12:16:05.672536;(2277,-2,-531);(1361,-241,-1241)
2021-07-06T12:16:05.680345;(2277,-2,-531);(1361,-241,-1241)
2021-07-06T12:16:05.688447;(2282,11,-540);(1361,-241,-1243)
2021-07-06T12:16:05.696365;(2282,11,-540);(1361,-241,-1243)
2021-07-06T12:16:05.704589;(2282,11,-540);(1361,-241,-1243)
2021-07-06T12:16:05.712506;(2282,11,-540);(1361,-241,-1243)
2021-07-06T12:16:05.719954;(2282,11,-540);(1361,-241,-1243)
2021-07-06T12:16:05.729009;(2282,11,-540);(1361,-241,-1243)
2021-07-06T12:16:05.738014;(2282,11,-540);(1361,-241,-1243)
2021-07-06T12:16:05.746531;(2280,9,-535);(1397,-193,-1248)
2021-07-06T12:16:05.753748;(2280,9,-535);(1397,-193,-1248)
2021-07-06T12:16:05.762804;(2280,9,-535);(1397,-193,-1248)
2021-07-06T12:16:05.771903;(2282,8,-524);(1412,-196,-1237)
2021-07-06T12:16:05.779674;(2282,8,-524);(1412,-196,-1237)
2021-07-06T12:16:05.787909;(2282,4,-525);(1411,-194,-1238)
2021-07-06T12:16:05.797250;(2282,4,-525);(1411,-194,-1238)
2021-07-06T12:16:05.806109;(2282,8,-529);(1419,-197,-1251)
2021-07-06T12:16:05.813866;(2282,8,-529);(1419,-197,-1251)
2021-07-06T12:16:05.821892;(2282,8,-529);(1419,-197,-1251)
2021-07-06T12:16:05.830928;(2280,4,-532);(1432,-178,-1247)
2021-07-06T12:16:05.838582;(2280,4,-532);(1432,-178,-1247)
2021-07-06T12:16:05.847162;(2286,7,-528);(1441,-171,-1246)
2021-07-06T12:16:05.854357;(2286,7,-528);(1441,-171,-1246)
2021-07-06T12:16:05.863543;(2286,7,-528);(1441,-171,-1246)
2021-07-06T12:16:05.871130;(2292,10,-522);(1442,-170,-1238)
2021-07-06T12:16:05.878668;(2292,10,-522);(1442,-170,-1238)
2021-07-06T12:16:05.887226;(2285,12,-516);(1453,-166,-1238)
2021-07-06T12:16:05.894869;(2285,12,-516);(1453,-166,-1238)
2021-07-06T12:16:05.902062;(2285,12,-516);(1453,-166,-1238)
2021-07-06T12:16:05.909443;(2286,8,-518);(1453,-168,-1237)
2021-07-06T12:16:05.916714;(2286,8,-518);(1453,-168,-1237)
2021-07-06T12:16:05.923601;(2287,10,-523);(1458,-162,-1240)
2021-07-06T12:16:05.931806;(2287,10,-523);(1458,-162,-1240)
2021-07-06T12:16:05.940028;(2287,10,-523);(1458,-162,-1240)
2021-07-06T12:16:05.947976;(2289,7,-520);(1481,-148,-1231)
2021-07-06T12:16:05.955794;(2289,7,-520);(1481,-148,-1231)
2021-07-06T12:16:05.963211;(2289,7,-520);(1481,-148,-1231)
2021-07-06T12:16:05.970794;(2289,11,-516);(1487,-150,-1220)
