File:	06_07_21_blt.pgc

Блок 1
Title:	
ADC:	E-140
Started:	01.01.2001 3:28:50
Channels:	3
Rate:	200
Step:	0.005
Duration:	505.835
Size:	101168
Время, s	Nx	Ny	Nz
2.3	-0.5038	0.0799	-0.0087
2.305	-0.5038	0.0824	-0.0075
2.31	-0.5038	0.0812	-0.01
2.315	-0.5038	0.0837	-0.0087
2.32	-0.5051	0.0824	-0.0087
2.325	-0.5038	0.0837	-0.0062
2.33	-0.5038	0.0824	-0.0075
2.335	-0.5038	0.0824	-0.0087
2.34	-0.5038	0.0824	-0.0075
2.345	-0.5051	0.0824	-0.0075
2.35	-0.5038	0.0799	-0.0087
2.355	-0.5051	0.0824	-0.0075
2.36	-0.5063	0.0812	-0.0075
2.365	-0.5038	0.0837	-0.0062
2.37	-0.5051	0.0824	-0.01
2.375	-0.5038	0.0824	-0.0075
2.38	-0.5038	0.0824	-0.0087
2.385	-0.5038	0.0824	-0.0075
2.39	-0.5051	0.0824	-0.0087
2.395	-0.5051	0.0824	-0.0087
2.4	-0.5038	0.0824	-0.0087
2.405	-0.5038	0.0837	-0.0087
2.41	-0.5063	0.0824	-0.01
2.415	-0.5038	0.085	-0.0075
2.42	-0.5051	0.0824	-0.01
2.425	-0.5038	0.0837	-0.0087
2.43	-0.5038	0.0824	-0.0087
2.435	-0.5051	0.0812	-0.0087
2.44	-0.5038	0.0824	-0.0087
2.445	-0.5038	0.0837	-0.0087
2.45	-0.5038	0.0824	-0.0087
2.455	-0.5038	0.0824	-0.0087
2.46	-0.5038	0.0812	-0.01
2.465	-0.5051	0.0837	-0.0087
2.47	-0.5038	0.0837	-0.01
2.475	-0.5038	0.0824	-0.0087
2.48	-0.5038	0.0824	-0.0087
2.485	-0.5025	0.0837	-0.0087
2.49	-0.5051	0.0812	-0.0087
2.495	-0.5038	0.0824	-0.0075
2.5	-0.5051	0.0812	-0.01
2.505	-0.5038	0.0824	-0.0075
2.51	-0.5051	0.0812	-0.0087
2.515	-0.5038	0.0824	-0.0075
2.52	-0.5038	0.0812	-0.0087
2.525	-0.5038	0.0837	-0.0087
2.53	-0.5051	0.0812	-0.0087
2.535	-0.5038	0.0824	-0.0087
2.54	-0.5051	0.0824	-0.0087
2.545	-0.5025	0.0837	-0.0075
2.55	-0.5051	0.0824	-0.01
2.555	-0.5038	0.0837	-0.0075
2.56	-0.5051	0.0812	-0.0075
2.565	-0.5038	0.0837	-0.0087
2.57	-0.5038	0.0837	-0.0075
2.575	-0.5051	0.0824	-0.0075
2.58	-0.5051	0.0812	-0.0087
2.585	-0.5038	0.0824	-0.01
2.59	-0.5038	0.0824	-0.0087
2.595	-0.5025	0.0824	-0.0087
2.6	-0.5051	0.0812	-0.0075
2.605	-0.5038	0.085	-0.0075
2.61	-0.5051	0.0824	-0.01
2.615	-0.5038	0.0812	-0.0075
2.62	-0.5063	0.0812	-0.0087
2.625	-0.5025	0.0824	-0.0087
2.63	-0.5038	0.0824	-0.0087
2.635	-0.5038	0.0837	-0.0087
2.64	-0.5051	0.0824	-0.0087
2.645	-0.5038	0.0837	-0.0075
2.65	-0.5051	0.0812	-0.0087
